time_epoch|time|temp_c|temp_f|is_day|wind_mph|wind_kph|wind_degree|wind_dir|pressure_mb|pressure_in|precip_mm|precip_in|snow_cm|humidity|cloud|feelslike_c|feelslike_f|windchill_c|windchill_f|heatindex_c|heatindex_f|dewpoint_c|dewpoint_f|will_it_rain|chance_of_rain|will_it_snow|chance_of_snow|vis_km|vis_miles|gust_mph|gust_kph|uv|condition.text|condition.icon|condition.code|forecast.forecastday.date|forecast.forecastday.date_epoch|forecast.forecastday.day.maxtemp_c
1740409200|2025-02-24 10:00|3.5|38.3|1|2.0|3.2|192|SSW|1020.0|30.13|0.0|0.0|0.0|70|0|3.0|37.4|3.0|37.4|3.5|38.3|-2.8|27.0|0|0|0|0|10.0|6.0|2.8|4.5|2.1|Sunny|//cdn.weatherapi.com/weather/64x64/day/113.png|1000|2025-02-24|1740355200|10.5
1740412800|2025-02-24 11:00|5.1|41.2|1|3.6|5.8|195|SSW|1020.0|30.13|0.0|0.0|0.0|62|1|4.3|39.7|4.3|39.7|5.1|41.2|-0.3|31.4|0|0|0|0|10.0|6.0|4.6|7.5|2.9|Sunny|//cdn.weatherapi.com/weather/64x64/day/113.png|1000|2025-02-24|1740355200|10.5
1740416400|2025-02-24 12:00|6.6|43.9|1|4.5|7.2|203|SSW|1020.0|30.11|0.0|0.0|0.0|52|42|5.3|41.6|5.3|41.6|6.6|43.9|-2.3|27.9|0|0|0|0|10.0|6.0|5.7|9.3|3.0|Partly Cloudy |//cdn.weatherapi.com/weather/64x64/day/116.png|1003|2025-02-24|1740355200|10.5
1740420000|2025-02-24 13:00|7.6|45.8|1|6.9|11.2|195|SSW|1018.0|30.07|0.0|0.0|0.0|44|20|6.0|42.9|6.0|42.9|7.6|45.8|-3.3|26.1|0|0|0|0|10.0|6.0|8.8|14.1|2.9|Sunny|//cdn.weatherapi.com/weather/64x64/day/113.png|1000|2025-02-24|1740355200|10.5
1740423600|2025-02-24 14:00|8.5|47.3|1|8.1|13.0|202|SSW|1017.0|30.04|0.0|0.0|0.0|41|89|6.6|43.9|6.6|43.9|8.5|47.3|-3.9|25.0|0|0|0|0|10.0|6.0|10.7|17.2|2.1|Overcast |//cdn.weatherapi.com/weather/64x64/day/122.png|1009|2025-02-24|1740355200|10.5
1740427200|2025-02-24 15:00|9.5|49.1|1|9.6|15.5|211|SSW|1017.0|30.02|0.0|0.0|0.0|40|50|7.5|45.5|7.5|45.5|9.5|49.1|-3.7|25.3|0|0|0|0|10.0|6.0|12.6|20.2|1.1|Partly Cloudy |//cdn.weatherapi.com/weather/64x64/day/116.png|1003|2025-02-24|1740355200|10.5
1740430800|2025-02-24 16:00|12.2|54.0|1|10.5|16.9|207|SSW|1013.0|29.92|0.0|0.0|0.0|28|0|7.8|46.0|7.8|46.0|9.8|49.6|-2.6|27.3|0|0|0|0|16.0|9.0|14.1|22.6|0.4|Sunny|//cdn.weatherapi.com/weather/64x64/day/113.png|1000|2025-02-24|1740355200|10.5
1740434400|2025-02-24 17:00|9.6|49.3|1|10.3|16.6|203|SSW|1015.0|29.98|0.0|0.0|0.0|44|24|7.5|45.5|7.5|45.5|9.6|49.3|-1.5|29.4|0|0|0|0|10.0|6.0|15.1|24.3|0.0|Sunny|//cdn.weatherapi.com/weather/64x64/day/113.png|1000|2025-02-24|1740355200|10.5
1740438000|2025-02-24 18:00|8.3|46.9|0|9.4|15.1|197|SSW|1015.0|29.98|0.0|0.0|0.0|51|16|5.9|42.5|5.9|42.5|8.3|46.9|-0.1|31.9|0|0|0|0|10.0|6.0|15.1|24.3|0.0|Clear |//cdn.weatherapi.com/weather/64x64/night/113.png|1000|2025-02-24|1740355200|10.5
1740441600|2025-02-24 19:00|6.9|44.4|0|8.7|14.0|188|S|1015.0|29.97|0.0|0.0|0.0|59|70|4.0|39.3|4.0|39.3|6.9|44.4|-0.4|31.2|0|0|0|0|10.0|6.0|15.3|24.6|0.0|Cloudy |//cdn.weatherapi.com/weather/64x64/night/119.png|1006|2025-02-24|1740355200|10.5
1740445200|2025-02-24 20:00|5.8|42.4|0|9.2|14.8|186|S|1014.0|29.95|0.0|0.0|0.0|60|75|2.6|36.8|2.6|36.8|5.8|42.4|-1.6|29.2|0|0|0|0|10.0|6.0|15.4|24.8|0.0|Cloudy |//cdn.weatherapi.com/weather/64x64/night/119.png|1006|2025-02-24|1740355200|10.5
1740448800|2025-02-24 21:00|5.2|41.4|0|8.9|14.4|194|SSW|1015.0|29.96|0.0|0.0|0.0|61|100|1.9|35.4|1.9|35.4|5.2|41.4|-2.1|28.3|0|0|0|0|10.0|6.0|15.1|24.4|0.0|Overcast |//cdn.weatherapi.com/weather/64x64/night/122.png|1009|2025-02-24|1740355200|10.5
1740452400|2025-02-24 22:00|4.7|40.5|0|8.7|14.0|194|SSW|1014.0|29.96|0.0|0.0|0.0|62|100|1.3|34.4|1.3|34.4|4.7|40.5|-1.9|28.5|0|0|0|0|10.0|6.0|14.9|23.9|0.0|Overcast |//cdn.weatherapi.com/weather/64x64/night/122.png|1009|2025-02-24|1740355200|10.5
1740456000|2025-02-24 23:00|4.3|39.8|0|8.3|13.3|201|SSW|1014.0|29.94|0.0|0.0|0.0|66|100|0.9|33.6|0.9|33.6|4.3|39.8|-1.6|29.2|0|0|0|0|10.0|6.0|14.0|22.6|0.0|Overcast |//cdn.weatherapi.com/weather/64x64/night/122.png|1009|2025-02-24|1740355200|10.5
