time_epoch|time|temp_c|temp_f|is_day|wind_mph|wind_kph|wind_degree|wind_dir|pressure_mb|pressure_in|precip_mm|precip_in|snow_cm|humidity|cloud|feelslike_c|feelslike_f|windchill_c|windchill_f|heatindex_c|heatindex_f|dewpoint_c|dewpoint_f|will_it_rain|chance_of_rain|will_it_snow|chance_of_snow|vis_km|vis_miles|gust_mph|gust_kph|uv|condition.text|condition.icon|condition.code|forecast.forecastday.date|forecast.forecastday.date_epoch|forecast.forecastday.day.maxtemp_c
1740373200|2025-02-24 00:00|2.1|35.7|0|3.1|5.0|342|NNW|1020.0|30.13|0.0|0.0|0.0|68|100|0.3|32.6|0.3|32.6|2.1|35.7|-3.3|26.1|0|0|0|0|10.0|6.0|6.6|10.5|0.0|Overcast |//cdn.weatherapi.com/weather/64x64/night/122.png|1009|2025-02-24|1740355200|10.5
1740376800|2025-02-24 01:00|1.8|35.3|0|2.2|3.6|16|NNE|1020.0|30.13|0.0|0.0|0.0|68|100|0.2|32.3|0.2|32.3|1.8|35.3|-3.4|25.9|0|0|0|0|10.0|6.0|4.6|7.5|0.0|Overcast |//cdn.weatherapi.com/weather/64x64/night/122.png|1009|2025-02-24|1740355200|10.5
1740380400|2025-02-24 02:00|1.6|34.8|0|3.1|5.0|53|NE|1021.0|30.14|0.0|0.0|0.0|69|99|0.1|32.2|0.1|32.2|1.6|34.8|-3.5|25.8|0|0|0|0|10.0|6.0|6.3|10.1|0.0|Overcast |//cdn.weatherapi.com/weather/64x64/night/122.png|1009|2025-02-24|1740355200|10.5
1740384000|2025-02-24 03:00|1.1|34.0|0|3.1|5.0|63|ENE|1020.0|30.13|0.0|0.0|0.0|72|77|-0.1|31.9|-0.1|31.9|1.1|34.0|-3.2|26.3|0|0|0|0|10.0|6.0|6.2|9.9|0.0|Cloudy |//cdn.weatherapi.com/weather/64x64/night/119.png|1006|2025-02-24|1740355200|10.5
1740387600|2025-02-24 04:00|0.4|32.7|0|2.0|3.2|77|ENE|1020.0|30.11|0.0|0.0|0.0|79|27|-0.9|30.4|-0.9|30.4|0.4|32.7|-2.6|27.4|0|0|0|0|10.0|6.0|3.9|6.3|0.0|Partly Cloudy |//cdn.weatherapi.com/weather/64x64/night/116.png|1003|2025-02-24|1740355200|10.5
1740391200|2025-02-24 05:00|-0.3|31.5|0|2.0|3.2|113|ESE|1019.0|30.1|0.0|0.0|0.0|88|7|-1.4|29.6|-1.4|29.6|-0.3|31.5|-2.2|28.1|0|0|0|0|10.0|6.0|3.9|6.3|0.0|Clear |//cdn.weatherapi.com/weather/64x64/night/113.png|1000|2025-02-24|1740355200|10.5
1740394800|2025-02-24 06:00|-0.7|30.7|0|2.7|4.3|123|ESE|1019.0|30.1|0.0|0.0|0.0|92|3|-1.9|28.6|-1.9|28.6|-0.7|30.7|-2.0|28.5|0|0|0|0|10.0|6.0|5.3|8.5|0.0|Clear |//cdn.weatherapi.com/weather/64x64/night/113.png|1000|2025-02-24|1740355200|10.5
1740398400|2025-02-24 07:00|-1.1|30.0|1|3.4|5.4|134|SE|1021.0|30.14|0.0|0.0|0.0|95|2|-2.1|28.3|-2.1|28.3|-1.1|30.0|-1.9|28.7|0|0|0|0|10.0|6.0|6.8|10.9|0.1|Mist|//cdn.weatherapi.com/weather/64x64/day/143.png|1030|2025-02-24|1740355200|10.5
1740402000|2025-02-24 08:00|-0.9|30.5|1|1.6|2.5|164|SSE|1021.0|30.14|0.0|0.0|0.0|97|0|-1.7|29.0|-1.7|29.0|-0.9|30.5|-1.9|28.6|0|0|0|0|10.0|6.0|3.1|5.0|0.5|Freezing fog|//cdn.weatherapi.com/weather/64x64/day/260.png|1147|2025-02-24|1740355200|10.5
1740405600|2025-02-24 09:00|0.6|33.0|1|1.6|2.5|164|SSE|1020.0|30.11|0.0|0.0|0.0|84|0|0.2|32.3|0.2|32.3|0.6|33.0|-3.0|26.7|0|0|0|0|10.0|6.0|2.7|4.3|1.2|Sunny|//cdn.weatherapi.com/weather/64x64/day/113.png|1000|2025-02-24|1740355200|10.5
